,state,year,month,StringencyIndex,GovernmentResponseIndex,ContainmentHealthIndex,EconomicSupportIndex,state_abbr,fips_state,state_name,state_proper
276,Iowa,2020,11,49.01166666666665,53.87200000000002,49.06700000000003,87.5,IA,19,IOWA,Iowa
277,Iowa,2020,12,47.81935483870968,51.36645161290327,49.31129032258067,65.7258064516129,IA,19,IOWA,Iowa
278,Iowa,2021,1,45.19096774193549,49.96419354838712,48.17000000000001,62.5,IA,19,IOWA,Iowa
279,Iowa,2021,2,41.80214285714285,49.18499999999998,47.285000000000025,62.5,IA,19,IOWA,Iowa
280,Iowa,2021,3,41.67000000000001,46.76161290322581,47.04645161290325,44.75806451612903,IA,19,IOWA,Iowa
281,Iowa,2021,4,36.85033333333333,46.532666666666636,47.824000000000005,37.5,IA,19,IOWA,Iowa
282,Iowa,2021,5,34.26,45.217741935483865,46.323548387096764,37.5,IA,19,IOWA,Iowa
283,Iowa,2021,6,33.581666666666656,44.40866666666666,45.3936666666667,37.5,IA,19,IOWA,Iowa
284,Iowa,2021,7,32.40999999999998,44.10578947368422,45.047368421052624,37.5,IA,19,IOWA,Iowa
285,Kansas,2020,1,0.0,1.9493548387096777,2.1112903225806456,0.8064516129032258,KS,20,KANSAS,Kansas
286,Kansas,2020,2,0.0,5.209999999999999,5.949999999999998,0.0,KS,20,KANSAS,Kansas
287,Kansas,2020,3,39.35258064516128,32.56903225806451,34.62935483870969,18.14516129032258,KS,20,KANSAS,Kansas
288,Kansas,2020,4,79.63000000000007,65.6033333333333,66.05066666666663,62.5,KS,20,KANSAS,Kansas
289,Kansas,2020,5,72.0403225806452,63.44032258064516,63.57322580645167,62.5,KS,20,KANSAS,Kansas
290,Kansas,2020,6,62.34833333333337,56.668333333333365,55.83099999999999,62.5,KS,20,KANSAS,Kansas
291,Kansas,2020,7,59.589999999999996,56.40903225806451,56.4609677419355,56.04838709677419,KS,20,KANSAS,Kansas
292,Kansas,2020,8,57.37516129032261,52.795161290322575,56.82580645161291,24.596774193548388,KS,20,KANSAS,Kansas
293,Kansas,2020,9,54.63000000000004,51.81999999999997,55.05999999999997,29.166666666666668,KS,20,KANSAS,Kansas
294,Kansas,2020,10,54.630000000000045,52.809677419354806,55.05999999999997,37.096774193548384,KS,20,KANSAS,Kansas
295,Kansas,2020,11,55.29266666666668,53.3936666666667,55.66466666666667,37.5,KS,20,KANSAS,Kansas
296,Kansas,2020,12,56.94000000000004,55.87741935483874,58.500967741935455,37.5,KS,20,KANSAS,Kansas
297,Kansas,2021,1,56.94000000000004,56.088387096774206,58.743870967741934,37.5,KS,20,KANSAS,Kansas
298,Kansas,2021,2,53.96499999999998,55.77500000000001,58.38571428571429,37.5,KS,20,KANSAS,Kansas
299,Kansas,2021,3,48.430645161290315,54.50193548387097,55.08580645161292,50.403225806451616,KS,20,KANSAS,Kansas
300,Kansas,2021,4,35.171666666666646,50.66900000000002,48.975333333333325,62.5,KS,20,KANSAS,Kansas
301,Kansas,2021,5,32.32032258064514,48.909677419354864,46.96258064516128,62.5,KS,20,KANSAS,Kansas
302,Kansas,2021,6,34.998666666666686,50.413999999999994,48.69133333333332,62.5,KS,20,KANSAS,Kansas
303,Kansas,2021,7,37.959999999999994,52.08,50.60000000000001,62.5,KS,20,KANSAS,Kansas
304,Kentucky,2020,1,4.125161290322582,4.264516129032257,4.76,0.8064516129032258,KY,21,KENTUCKY,Kentucky
305,Kentucky,2020,2,5.560000000000001,8.330000000000005,9.520000000000001,0.0,KY,21,KENTUCKY,Kentucky
306,Kentucky,2020,3,46.74387096774195,40.86096774193548,40.76483870967741,41.53225806451613,KY,21,KENTUCKY,Kentucky
307,Kentucky,2020,4,90.36999999999995,76.02366666666666,74.38566666666664,87.5,KY,21,KENTUCKY,Kentucky
308,Kentucky,2020,5,82.37838709677423,75.87387096774194,74.21096774193548,87.5,KY,21,KENTUCKY,Kentucky
309,Kentucky,2020,6,76.9773333333333,74.54866666666666,72.69466666666669,87.5,KY,21,KENTUCKY,Kentucky
310,Kentucky,2020,7,67.20387096774192,70.0258064516129,67.64709677419356,86.69354838709677,KY,21,KENTUCKY,Kentucky
311,Kentucky,2020,8,67.02322580645163,66.8664516129032,67.49032258064521,62.5,KY,21,KENTUCKY,Kentucky
312,Kentucky,2020,9,62.96000000000002,64.112,64.88000000000005,58.75,KY,21,KENTUCKY,Kentucky
313,Kentucky,2020,10,61.765483870967756,61.03870967741937,64.11129032258069,39.516129032258064,KY,21,KENTUCKY,Kentucky
314,Kentucky,2020,11,57.840333333333355,57.01266666666664,61.58633333333331,25.0,KY,21,KENTUCKY,Kentucky
