,year,month,state,covid_19_deaths,state_abbr,fips_state,state_name,state_proper
313,2021,1,Montana,178,MT,30,MONTANA,Montana
314,2020,2,Montana,0,MT,30,MONTANA,Montana
315,2021,2,Montana,74,MT,30,MONTANA,Montana
316,2020,3,Montana,0,MT,30,MONTANA,Montana
317,2021,3,Montana,58,MT,30,MONTANA,Montana
318,2020,4,Montana,11,MT,30,MONTANA,Montana
319,2021,4,Montana,30,MT,30,MONTANA,Montana
320,2020,5,Montana,0,MT,30,MONTANA,Montana
321,2021,5,Montana,30,MT,30,MONTANA,Montana
322,2020,6,Montana,0,MT,30,MONTANA,Montana
323,2021,6,Montana,34,MT,30,MONTANA,Montana
324,2020,1,Nebraska,0,NE,31,NEBRASKA,Nebraska
325,2021,1,Nebraska,345,NE,31,NEBRASKA,Nebraska
326,2020,2,Nebraska,0,NE,31,NEBRASKA,Nebraska
327,2021,2,Nebraska,120,NE,31,NEBRASKA,Nebraska
328,2020,3,Nebraska,0,NE,31,NEBRASKA,Nebraska
329,2021,3,Nebraska,76,NE,31,NEBRASKA,Nebraska
330,2020,4,Nebraska,76,NE,31,NEBRASKA,Nebraska
331,2021,4,Nebraska,65,NE,31,NEBRASKA,Nebraska
332,2020,5,Nebraska,111,NE,31,NEBRASKA,Nebraska
333,2021,5,Nebraska,64,NE,31,NEBRASKA,Nebraska
334,2020,6,Nebraska,92,NE,31,NEBRASKA,Nebraska
335,2021,6,Nebraska,23,NE,31,NEBRASKA,Nebraska
336,2020,1,Nevada,0,NV,32,NEVADA,Nevada
337,2021,1,Nevada,1175,NV,32,NEVADA,Nevada
338,2020,2,Nevada,0,NV,32,NEVADA,Nevada
339,2021,2,Nevada,555,NV,32,NEVADA,Nevada
340,2020,3,Nevada,35,NV,32,NEVADA,Nevada
341,2021,3,Nevada,218,NV,32,NEVADA,Nevada
342,2020,4,Nevada,228,NV,32,NEVADA,Nevada
343,2021,4,Nevada,155,NV,32,NEVADA,Nevada
344,2020,5,Nevada,162,NV,32,NEVADA,Nevada
345,2021,5,Nevada,113,NV,32,NEVADA,Nevada
346,2020,6,Nevada,91,NV,32,NEVADA,Nevada
347,2021,6,Nevada,107,NV,32,NEVADA,Nevada
348,2020,1,New Hampshire,0,NH,33,NEW HAMPSHIRE,New Hampshire
349,2021,1,New Hampshire,312,NH,33,NEW HAMPSHIRE,New Hampshire
350,2020,2,New Hampshire,0,NH,33,NEW HAMPSHIRE,New Hampshire
351,2021,2,New Hampshire,88,NH,33,NEW HAMPSHIRE,New Hampshire
352,2020,3,New Hampshire,10,NH,33,NEW HAMPSHIRE,New Hampshire
353,2021,3,New Hampshire,49,NH,33,NEW HAMPSHIRE,New Hampshire
354,2020,4,New Hampshire,83,NH,33,NEW HAMPSHIRE,New Hampshire
355,2021,4,New Hampshire,36,NH,33,NEW HAMPSHIRE,New Hampshire
356,2020,5,New Hampshire,190,NH,33,NEW HAMPSHIRE,New Hampshire
357,2021,5,New Hampshire,33,NH,33,NEW HAMPSHIRE,New Hampshire
358,2020,6,New Hampshire,100,NH,33,NEW HAMPSHIRE,New Hampshire
359,2021,6,New Hampshire,17,NH,33,NEW HAMPSHIRE,New Hampshire
360,2020,1,New Jersey,0,NJ,34,NEW JERSEY,New Jersey
361,2021,1,New Jersey,2447,NJ,34,NEW JERSEY,New Jersey
362,2020,2,New Jersey,0,NJ,34,NEW JERSEY,New Jersey
363,2021,2,New Jersey,1430,NJ,34,NEW JERSEY,New Jersey
364,2020,3,New Jersey,696,NJ,34,NEW JERSEY,New Jersey
365,2021,3,New Jersey,1021,NJ,34,NEW JERSEY,New Jersey
366,2020,4,New Jersey,8994,NJ,34,NEW JERSEY,New Jersey
367,2021,4,New Jersey,1016,NJ,34,NEW JERSEY,New Jersey
368,2020,5,New Jersey,3357,NJ,34,NEW JERSEY,New Jersey
369,2021,5,New Jersey,508,NJ,34,NEW JERSEY,New Jersey
370,2020,6,New Jersey,839,NJ,34,NEW JERSEY,New Jersey
371,2021,6,New Jersey,141,NJ,34,NEW JERSEY,New Jersey
372,2020,1,New Mexico,0,NM,35,NEW MEXICO,New Mexico
373,2021,1,New Mexico,696,NM,35,NEW MEXICO,New Mexico
374,2020,2,New Mexico,0,NM,35,NEW MEXICO,New Mexico
375,2021,2,New Mexico,294,NM,35,NEW MEXICO,New Mexico
376,2020,3,New Mexico,0,NM,35,NEW MEXICO,New Mexico
377,2021,3,New Mexico,145,NM,35,NEW MEXICO,New Mexico
378,2020,4,New Mexico,164,NM,35,NEW MEXICO,New Mexico
379,2021,4,New Mexico,70,NM,35,NEW MEXICO,New Mexico
380,2020,5,New Mexico,264,NM,35,NEW MEXICO,New Mexico
381,2021,5,New Mexico,69,NM,35,NEW MEXICO,New Mexico
382,2020,6,New Mexico,131,NM,35,NEW MEXICO,New Mexico
383,2021,6,New Mexico,48,NM,35,NEW MEXICO,New Mexico
384,2020,1,New York,0,NY,36,NEW YORK,New York
385,2021,1,New York,4334,NY,36,NEW YORK,New York
386,2020,2,New York,0,NY,36,NEW YORK,New York
387,2021,2,New York,2206,NY,36,NEW YORK,New York
388,2020,3,New York,702,NY,36,NEW YORK,New York
389,2021,3,New York,1147,NY,36,NEW YORK,New York
390,2020,4,New York,7257,NY,36,NEW YORK,New York
391,2021,4,New York,889,NY,36,NEW YORK,New York
392,2020,5,New York,2708,NY,36,NEW YORK,New York
393,2021,5,New York,519,NY,36,NEW YORK,New York
394,2020,6,New York,627,NY,36,NEW YORK,New York
395,2021,6,New York,234,NY,36,NEW YORK,New York
396,2020,1,North Carolina,0,NC,37,NORTH CAROLINA,North Carolina
397,2021,1,North Carolina,3593,NC,37,NORTH CAROLINA,North Carolina
398,2020,2,North Carolina,0,NC,37,NORTH CAROLINA,North Carolina
399,2021,2,North Carolina,421,NC,37,NORTH CAROLINA,North Carolina
400,2020,3,North Carolina,24,NC,37,NORTH CAROLINA,North Carolina
401,2021,3,North Carolina,386,NC,37,NORTH CAROLINA,North Carolina
402,2020,4,North Carolina,449,NC,37,NORTH CAROLINA,North Carolina
403,2021,4,North Carolina,378,NC,37,NORTH CAROLINA,North Carolina
404,2020,5,North Carolina,540,NC,37,NORTH CAROLINA,North Carolina
405,2021,5,North Carolina,343,NC,37,NORTH CAROLINA,North Carolina
406,2020,6,North Carolina,470,NC,37,NORTH CAROLINA,North Carolina
407,2021,6,North Carolina,132,NC,37,NORTH CAROLINA,North Carolina
408,2020,1,North Dakota,0,ND,38,NORTH DAKOTA,North Dakota
409,2021,1,North Dakota,97,ND,38,NORTH DAKOTA,North Dakota
410,2020,2,North Dakota,0,ND,38,NORTH DAKOTA,North Dakota
411,2021,2,North Dakota,32,ND,38,NORTH DAKOTA,North Dakota
412,2020,3,North Dakota,0,ND,38,NORTH DAKOTA,North Dakota
413,2021,3,North Dakota,26,ND,38,NORTH DAKOTA,North Dakota
414,2020,4,North Dakota,26,ND,38,NORTH DAKOTA,North Dakota
415,2021,4,North Dakota,39,ND,38,NORTH DAKOTA,North Dakota
416,2020,5,North Dakota,53,ND,38,NORTH DAKOTA,North Dakota
