PRIM_STATE,AREA,AREA_TITLE,OCC_CODE,O_GROUP,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AL,13820,"Birmingham-Hoover, AL",17-0000,major,7940,7810,7940,7110,6940,6750,6860,6980,7760,6950,7170,7330,7450,7960,7880,8180
AL,13820,"Birmingham-Hoover, AL",19-0000,major,3120,2860,3050,2880,2780,2590,2510,2480,2840,2450,2480,2030,2110,2190,2950,3150
AL,13820,"Birmingham-Hoover, AL",21-0000,major,4140,4310,4670,4540,4370,4370,3950,4380,4100,4230,4220,4250,4510,4710,5520,5450
AL,13820,"Birmingham-Hoover, AL",23-0000,major,5160,4490,4270,4260,3950,3920,3960,3950,3640,3380,3950,4070,4310,4160,4610,4770
AL,13820,"Birmingham-Hoover, AL",25-0000,major,24900,26060,26390,26140,26010,25090,25190,25100,27630,26260,25990,24060,24110,24460,24580,23540
AL,13820,"Birmingham-Hoover, AL",27-0000,major,5740,6420,5410,6320,6100,5870,5370,6290,5570,5470,5550,5960,5890,5750,6050,6040
AL,13820,"Birmingham-Hoover, AL",29-0000,major,32530,33500,33500,35110,36190,36200,37190,37220,38120,38460,39390,42710,43340,42910,41200,40890
AL,13820,"Birmingham-Hoover, AL",31-0000,major,11450,12590,12610,13760,13280,13180,12850,13200,13640,13890,13420,13450,13780,14050,17610,18100
AL,13820,"Birmingham-Hoover, AL",33-0000,major,11780,12330,12040,12500,12460,13340,13180,13060,13650,13800,13640,13250,12990,13870,13710,12680
AL,13820,"Birmingham-Hoover, AL",35-0000,major,37520,38760,38800,38250,36430,34120,34520,35620,37380,39290,40410,41600,42770,45330,47760,41110
AL,13820,"Birmingham-Hoover, AL",37-0000,major,13130,13280,13950,14440,13780,13420,13600,14000,13730,13600,13050,14100,14520,13730,13030,11860
AL,13820,"Birmingham-Hoover, AL",39-0000,major,8190,7870,8660,9850,10110,**,12120,13160,12170,11850,12880,11880,12660,13070,9320,8560
AL,13820,"Birmingham-Hoover, AL",41-0000,major,57910,57600,61660,65380,62150,60640,60840,62310,61160,61500,62510,61580,60570,59510,58590,54740
AL,13820,"Birmingham-Hoover, AL",43-0000,major,90980,91730,95250,93310,92060,88340,88080,86010,84410,85000,84580,83610,82660,82090,73870,69650
AL,13820,"Birmingham-Hoover, AL",45-0000,major,740,790,990,940,920,710,690,540,480,520,520,440,390,560,610,630
AL,13820,"Birmingham-Hoover, AL",47-0000,major,27240,29030,28210,28040,24420,21070,20840,21400,22300,21630,20470,19970,20310,22030,23770,24410
AL,13820,"Birmingham-Hoover, AL",49-0000,major,25470,25180,24990,23930,22590,22010,23250,24260,22960,23400,23230,23960,22720,23790,24560,24180
AL,13820,"Birmingham-Hoover, AL",51-0000,major,33730,35650,36780,35110,29940,27920,27930,30720,30460,33000,33140,33870,33870,34140,35700,32800
AL,13820,"Birmingham-Hoover, AL",53-0000,major,39050,39130,40430,40600,37580,33050,33690,33590,35330,34890,36430,38590,37900,36970,41190,39660
AL,19300,"Daphne-Fairhope-Foley, AL",11-0000,major,,,,,,,,,,,1920,1880,1970,2150,2630,2730
AL,19300,"Daphne-Fairhope-Foley, AL",13-0000,major,,,,,,,,,,,1510,1580,1640,1730,1860,1950
AL,19300,"Daphne-Fairhope-Foley, AL",15-0000,major,,,,,,,,,,,450,380,310,320,440,500
AL,19300,"Daphne-Fairhope-Foley, AL",17-0000,major,,,,,,,,,,,450,460,480,500,690,710
AL,19300,"Daphne-Fairhope-Foley, AL",19-0000,major,,,,,,,,,,,150,170,160,250,330,320
AL,19300,"Daphne-Fairhope-Foley, AL",21-0000,major,,,,,,,,,,,530,530,500,630,530,610
AL,19300,"Daphne-Fairhope-Foley, AL",23-0000,major,,,,,,,,,,,290,330,280,250,280,290
AL,19300,"Daphne-Fairhope-Foley, AL",25-0000,major,,,,,,,,,,,3850,3810,4010,4120,4200,4020
AL,19300,"Daphne-Fairhope-Foley, AL",27-0000,major,,,,,,,,,,,440,430,380,380,420,460
AL,19300,"Daphne-Fairhope-Foley, AL",29-0000,major,,,,,,,,,,,3830,3910,4110,4280,4330,4480
AL,19300,"Daphne-Fairhope-Foley, AL",31-0000,major,,,,,,,,,,,1580,1780,2060,1930,2580,2730
AL,19300,"Daphne-Fairhope-Foley, AL",33-0000,major,,,,,,,,,,,1320,1490,1460,1540,1690,1960
AL,19300,"Daphne-Fairhope-Foley, AL",35-0000,major,,,,,,,,,,,10220,10750,11530,11770,12630,11150
AL,19300,"Daphne-Fairhope-Foley, AL",37-0000,major,,,,,,,,,,,3410,3620,3440,3430,2940,3100
AL,19300,"Daphne-Fairhope-Foley, AL",39-0000,major,,,,,,,,,,,1830,2650,2460,2640,2160,2010
AL,19300,"Daphne-Fairhope-Foley, AL",41-0000,major,,,,,,,,,,,12280,12600,12500,12030,12160,11390
AL,19300,"Daphne-Fairhope-Foley, AL",43-0000,major,,,,,,,,,,,9780,10000,10280,10350,8930,8680
AL,19300,"Daphne-Fairhope-Foley, AL",45-0000,major,,,,,,,,,,,100,110,70,**,**,50
AL,19300,"Daphne-Fairhope-Foley, AL",47-0000,major,,,,,,,,,,,2740,2710,2710,2900,3250,3340
AL,19300,"Daphne-Fairhope-Foley, AL",49-0000,major,,,,,,,,,,,2730,2940,3250,3540,3780,4190
AL,19300,"Daphne-Fairhope-Foley, AL",51-0000,major,,,,,,,,,,,3060,3360,3250,3370,3380,3230
AL,19300,"Daphne-Fairhope-Foley, AL",53-0000,major,,,,,,,,,,,4000,4350,4340,4320,5210,5190
AL,19460,"Decatur, AL",11-0000,major,1870,1860,1970,2010,1830,1710,1570,1570,1620,1580,1620,1620,1640,1720,2010,2150
AL,19460,"Decatur, AL",13-0000,major,1570,1250,1260,1150,1120,1100,1030,1000,1100,1230,1210,1280,1280,1310,1420,1530
AL,19460,"Decatur, AL",15-0000,major,260,240,230,250,260,250,350,390,380,370,340,440,440,460,490,450
AL,19460,"Decatur, AL",17-0000,major,1000,850,930,810,830,1100,1240,1530,1830,1790,1580,1500,1400,1110,1460,1600
AL,19460,"Decatur, AL",19-0000,major,260,230,200,160,220,310,410,380,330,270,350,350,360,210,390,370
AL,19460,"Decatur, AL",21-0000,major,330,380,440,410,450,480,560,650,540,500,530,460,430,450,420,430
AL,19460,"Decatur, AL",23-0000,major,110,130,140,160,140,110,100,120,110,110,110,120,130,150,180,180
AL,19460,"Decatur, AL",25-0000,major,3150,3200,3110,3100,2810,2890,2850,2740,2660,2780,2740,2640,2490,2540,2700,2430
AL,19460,"Decatur, AL",27-0000,major,280,260,220,210,220,250,300,250,220,200,150,210,230,260,210,250
AL,19460,"Decatur, AL",29-0000,major,2460,2500,2820,2970,2900,2820,2810,2970,2750,2620,2640,2700,2740,2530,2630,2820
AL,19460,"Decatur, AL",31-0000,major,1400,1260,1080,1170,1320,1350,1300,1190,1220,1280,1230,1180,1020,940,2160,2060
AL,19460,"Decatur, AL",33-0000,major,1050,1010,1080,870,1100,1280,1260,1440,1360,1360,1320,1280,1280,1120,1060,1020
AL,19460,"Decatur, AL",35-0000,major,4470,4590,4200,4170,4060,4150,4200,4100,4280,4040,4190,4480,4920,5040,5090,4320
AL,19460,"Decatur, AL",37-0000,major,1420,1360,1430,1470,1350,1290,1240,1250,1310,1250,1320,1480,1530,1570,1530,1530
AL,19460,"Decatur, AL",39-0000,major,**,880,720,850,1070,900,1100,1180,1250,1180,1300,1480,1550,1680,780,630
AL,19460,"Decatur, AL",41-0000,major,4890,5290,5230,5820,5580,5550,5520,5370,5480,5840,5750,5730,5380,5840,5820,5480
AL,19460,"Decatur, AL",43-0000,major,7860,7500,7140,7090,6780,6980,6890,7060,6700,6840,6680,6910,6810,6800,6040,5690
AL,19460,"Decatur, AL",45-0000,major,90,200,210,130,60,70,70,200,230,230,180,110,100,210,170,280
AL,19460,"Decatur, AL",47-0000,major,2940,3030,3070,3380,2830,2680,2430,2540,2930,2860,2870,2870,2500,2600,2930,2880
AL,19460,"Decatur, AL",49-0000,major,3450,3050,3180,2880,2720,2940,3300,3470,3320,2850,2760,2690,2620,2670,3110,3300
AL,19460,"Decatur, AL",51-0000,major,11370,11520,11180,9890,8770,8420,8670,9280,9270,9160,8800,8540,8230,8390,8770,9150
AL,19460,"Decatur, AL",53-0000,major,5220,5170,4820,5350,5180,5050,4670,4020,4100,3670,4650,4960,5220,5100,5740,5610
AL,20020,"Dothan, AL",11-0000,major,2420,2670,2590,2460,2370,1960,1910,1810,1720,1610,1630,1810,1740,1920,1900,2190
AL,20020,"Dothan, AL",13-0000,major,1310,1390,1190,1330,1260,1230,1180,1220,1180,1130,1110,1150,1230,1250,1270,1350
AL,20020,"Dothan, AL",15-0000,major,290,340,320,310,310,330,330,360,320,360,360,330,330,450,370,370
AL,20020,"Dothan, AL",17-0000,major,730,640,630,620,700,630,650,580,560,460,460,550,550,610,650,780
AL,20020,"Dothan, AL",19-0000,major,190,200,210,170,210,140,130,150,140,110,120,180,210,200,220,250
AL,20020,"Dothan, AL",21-0000,major,540,580,630,530,530,540,520,470,480,490,510,410,380,450,580,730
AL,20020,"Dothan, AL",23-0000,major,**,,310,270,250,220,240,230,200,190,250,210,190,190,260,310
AL,20020,"Dothan, AL",25-0000,major,2170,2050,2630,2990,2940,2870,2850,2790,2790,3290,3490,3350,2370,2510,2630,2570
AL,20020,"Dothan, AL",27-0000,major,440,550,430,430,500,520,670,570,360,370,370,430,610,570,570,310
AL,20020,"Dothan, AL",29-0000,major,,**,9770,4830,4850,5230,5140,5100,5210,5200,5420,5190,5490,5430,5580,5380
AL,20020,"Dothan, AL",31-0000,major,1660,2260,2630,1990,1750,1800,1790,1900,1880,2000,2020,2090,2090,2050,2560,2520
AL,20020,"Dothan, AL",33-0000,major,1340,1280,1380,1380,1160,1070,1320,1300,1250,1200,1190,1380,1460,1570,1470,1380
AL,20020,"Dothan, AL",35-0000,major,5390,5030,5490,4990,4700,4890,5140,5190,4970,4930,5110,5160,5350,5500,5910,5310
AL,20020,"Dothan, AL",37-0000,major,1660,1530,1440,1600,1660,1490,1440,1500,1560,1490,1420,1450,1480,1550,1610,1500
AL,20020,"Dothan, AL",39-0000,major,1040,1000,1150,1030,1350,1360,1430,1270,1400,1450,1440,1350,1380,1480,1090,1170
AL,20020,"Dothan, AL",41-0000,major,6950,7250,7580,7710,7270,6980,7080,7470,8000,7890,8000,8010,7850,8190,7750,7330
AL,20020,"Dothan, AL",43-0000,major,9040,10220,10050,9590,9830,9380,9490,9190,8980,9020,8930,8860,8360,8200,7170,7300
AL,20020,"Dothan, AL",45-0000,major,510,390,450,390,300,240,280,420,310,480,420,490,360,380,350,440
AL,20020,"Dothan, AL",47-0000,major,3050,3100,3250,2680,2450,2160,2340,2270,2020,1830,2080,1930,2060,2030,1990,1920
AL,20020,"Dothan, AL",49-0000,major,3250,3420,3160,2870,2870,2580,2640,2770,2760,2660,2720,2710,2740,2910,2910,2930
AL,20020,"Dothan, AL",51-0000,major,6710,6670,6140,6030,5670,4850,5140,5030,5070,4020,4100,4120,4990,5040,4670,4400
AL,20020,"Dothan, AL",53-0000,major,5160,5010,5570,5520,5580,5030,4880,4420,4010,4130,4300,4640,5180,5170,5770,5760
AL,22520,"Florence-Muscle Shoals, AL",11-0000,major,1810,1710,1760,1750,1710,1500,1470,1570,1580,1610,1640,1720,1670,1650,1910,1950
AL,22520,"Florence-Muscle Shoals, AL",13-0000,major,1260,940,970,910,900,970,1010,1120,1130,1120,1110,1170,1260,1140,1290,1400
AL,22520,"Florence-Muscle Shoals, AL",15-0000,major,170,190,240,250,280,280,290,320,280,240,190,190,220,210,220,290
AL,22520,"Florence-Muscle Shoals, AL",17-0000,major,580,440,520,490,460,660,680,700,700,680,600,660,720,680,720,690
AL,22520,"Florence-Muscle Shoals, AL",19-0000,major,170,110,100,100,130,170,130,190,170,140,100,100,110,100,170,150
AL,22520,"Florence-Muscle Shoals, AL",21-0000,major,370,450,550,650,460,450,400,420,370,300,420,520,560,490,470,450
AL,22520,"Florence-Muscle Shoals, AL",23-0000,major,120,150,160,220,220,230,190,200,200,190,180,150,150,160,180,270
AL,22520,"Florence-Muscle Shoals, AL",25-0000,major,3490,3620,3330,3170,3240,3220,3320,3310,3350,3440,3300,2980,3020,2990,3220,2990
AL,22520,"Florence-Muscle Shoals, AL",27-0000,major,550,380,420,330,350,340,340,350,310,320,260,300,320,310,280,310
AL,22520,"Florence-Muscle Shoals, AL",29-0000,major,3100,3130,3160,3480,3430,3540,3250,3380,3510,3580,3550,3750,3720,3670,3600,3480
