,state_code,area_code,prepandemic_growth,leisure_by_emp,total_emp_feb2020,manufacturing_emp_feb2020,service_emp_feb2020,total_emp_jun2021,manufacturing_emp_jun2021,service_emp_jun2021,total_employment,manufacturing,service,emp_tot_change_feb2020_jun2021,manufacturing_change_feb2020_jun2021,service_change_feb2020_jun2021
153,20,31740,0.007142857142857075,,43.6,4.9,38.7,35.3,5.1,30.2,42.3,5.2,37.1,-0.19036697247706436,0.04081632653061207,-0.21963824289405698
154,20,45820,0.0,0.07596037223480415,110.5,12.9,97.6,105.4,13.4,92.0,111.5,13.5,98.0,-0.0461538461538461,0.03875968992248069,-0.05737704918032782
155,20,48620,0.03552097428958051,0.10678425288003149,302.3,70.5,231.8,274.3,57.2,217.1,306.1,71.8,234.3,-0.09262322196493544,-0.18865248226950349,-0.06341673856773089
156,21,14540,0.061898211829436035,0.11262972204122501,76.4,15.9,60.5,69.2,15.6,53.6,77.2,16.3,60.9,-0.09424083769633507,-0.018867924528301883,-0.1140495867768595
157,21,21060,0.03102189781021903,0.10108303249097474,56.2,10.0,46.2,51.4,9.3,42.1,56.5,10.0,46.4,-0.0854092526690392,-0.06999999999999995,-0.08874458874458879
158,21,30460,0.031423290203327174,0.11019605620539469,273.5,43.3,230.2,258.0,41.5,216.5,279.0,44.1,234.8,-0.05667276051188297,-0.04157043879907618,-0.059513466550825345
159,21,31140,0.051270063892784754,0.1004967887387298,664.5,111.5,553.0,618.7,105.5,513.2,674.6,112.8,561.8,-0.06892400300978174,-0.053811659192825156,-0.07197106690777566
160,21,36980,0.03300970873786413,0.09367692237149793,52.5,11.3,41.2,48.9,10.9,38.0,53.2,11.6,41.6,-0.06857142857142862,-0.03539823008849563,-0.07766990291262144
161,22,10780,-0.02511773940345371,,61.9,8.0,53.9,58.3,7.8,50.5,62.1,8.1,54.0,-0.05815831987075937,-0.025000000000000022,-0.06307977736549164
162,22,12940,0.02000493949123246,0.09493627872480621,416.8,86.1,330.7,366.8,67.5,299.3,413.0,81.1,331.9,-0.1199616122840691,-0.21602787456445993,-0.09495010583610519
163,22,25220,0.04988662131519265,,45.5,3.9,41.6,43.6,4.4,39.2,46.3,4.1,42.1,-0.04175824175824172,0.12820512820512842,-0.05769230769230771
164,22,26380,-0.10082304526748968,0.09053855768708223,86.4,18.0,68.4,78.9,15.8,63.1,87.4,18.3,69.1,-0.08680555555555558,-0.12222222222222223,-0.07748538011695916
165,22,29180,-0.04246383574428382,0.10389931625039021,203.9,38.3,165.6,185.8,33.6,152.2,205.2,39.1,166.0,-0.08876900441392832,-0.12271540469973885,-0.08091787439613529
166,22,29340,0.10735009671179878,0.13179267084846488,114.6,34.9,79.7,95.2,25.0,70.2,114.5,34.6,79.9,-0.16928446771378702,-0.2836676217765043,-0.11919698870765372
167,22,33740,-0.007566204287515692,0.10158885208870709,78.8,10.1,68.7,72.1,9.2,62.9,78.7,10.2,68.5,-0.0850253807106599,-0.08910891089108919,-0.0844250363901019
168,22,35380,0.015440666204024943,0.14693615251823938,584.9,63.8,521.1,506.4,58.5,447.9,585.3,63.6,521.8,-0.1342109762352539,-0.08307210031347956,-0.14047207829591257
169,22,43340,-0.015760869565217422,0.12628771461910326,181.4,23.9,157.5,163.3,21.1,142.2,181.1,23.7,157.4,-0.09977949283351706,-0.11715481171548103,-0.0971428571428572
170,23,70750,0.030211480362537763,0.09448042047105676,67.1,5.4,61.7,62.0,5.8,56.2,68.2,6.1,62.1,-0.07600596125186276,0.07407407407407396,-0.08914100486223664
171,23,74650,0.021868787276341978,0.07279033551979615,51.0,7.8,43.2,47.8,8.1,39.7,51.4,8.1,43.4,-0.0627450980392158,0.03846153846153855,-0.08101851851851849
172,23,76750,0.0740927419354838,0.10894140634086202,206.8,23.6,183.2,190.9,24.0,166.9,213.1,24.6,188.5,-0.07688588007736952,0.016949152542372836,-0.0889737991266375
173,24,12580,0.04494546519288493,0.09318541533840069,1408.2,136.9,1271.3,1290.2,137.3,1152.9,1427.5,141.3,1286.2,-0.0837949154949581,0.0029218407596787177,-0.09313301345079827
174,24,15680,0.03973509933774844,,47.0,2.5,44.5,46.2,2.7,43.5,47.1,2.6,44.5,-0.017021276595744594,0.08000000000000007,-0.022471910112359605
175,24,19060,0.0,,39.2,5.8,33.4,35.0,5.2,29.8,38.9,5.7,33.2,-0.1071428571428572,-0.10344827586206895,-0.10778443113772451
176,24,25180,0.011505273250239721,0.09331218609569121,102.9,13.2,89.7,97.3,13.5,83.8,105.5,13.8,91.7,-0.054421768707483054,0.022727272727272707,-0.06577480490523979
177,24,43524,0.03696698762035763,0.0895826975116483,594.6,52.9,541.7,537.6,51.7,485.9,603.1,53.9,549.2,-0.09586276488395562,-0.022684310018903475,-0.10300904559719415
178,25,70900,0.030769230769230795,0.17828682971638535,96.1,9.9,86.2,93.9,10.3,83.6,107.2,10.5,96.7,-0.02289281997918824,0.04040404040404044,-0.030162412993039567
179,25,71654,0.07630025302220975,0.09498887315923926,1878.0,148.0,1730.0,1660.4,140.7,1519.7,1914.2,153.5,1760.8,-0.11586794462193817,-0.04932432432432443,-0.12156069364161848
180,25,72104,0.04899497487437193,0.08175302374197402,82.1,10.5,71.6,70.4,10.0,60.4,83.5,11.0,72.5,-0.1425091352009743,-0.04761904761904767,-0.15642458100558654
181,25,73104,0.010976314269208583,0.07597201434090986,171.0,30.3,140.7,153.4,29.9,123.5,175.0,31.1,143.9,-0.10292397660818708,-0.01320132013201325,-0.12224591329068935
182,25,73604,0.05069124423963151,0.12111605454185194,66.0,14.5,51.5,60.2,13.7,46.5,68.4,15.0,53.4,-0.08787878787878789,-0.05517241379310345,-0.09708737864077666
183,25,74204,0.009756097560975575,0.09061706042110801,81.7,12.3,69.4,72.6,11.4,61.2,82.8,12.6,70.3,-0.1113831089351286,-0.07317073170731714,-0.11815561959654186
184,25,74500,0.05708661417322846,0.10738548695391849,53.0,8.5,44.5,46.5,8.3,38.2,53.7,8.8,44.9,-0.12264150943396224,-0.0235294117647058,-0.14157303370786511
185,25,74804,0.08428093645484946,0.08242635432817033,159.5,32.4,127.1,143.8,32.5,111.3,162.1,33.6,128.5,-0.09843260188087766,0.0030864197530864335,-0.12431156569630208
186,25,74854,0.010869565217391304,0.11741060872763578,45.3,5.7,39.6,39.5,5.7,33.8,46.5,6.0,40.6,-0.1280353200883002,0.0,-0.14646464646464652
187,25,75550,0.018126888217522702,0.10209942742888309,66.4,9.7,56.7,58.2,8.6,49.6,67.4,9.8,57.6,-0.12349397590361444,-0.11340206185567003,-0.12522045855379194
188,25,76524,0.014767932489451538,0.10890736190852034,94.9,10.5,84.4,79.6,10.1,69.5,96.2,10.8,85.4,-0.16122233930453123,-0.03809523809523818,-0.17654028436018965
189,25,76600,-0.03309692671394796,0.1254006999382407,39.4,5.0,34.4,35.1,4.8,30.3,40.9,5.3,35.6,-0.10913705583756339,-0.040000000000000036,-0.1191860465116279
190,25,78100,0.0334855403348554,0.08990329156902717,335.5,39.5,296.0,291.9,39.9,252.0,339.5,41.4,298.1,-0.1299552906110284,0.010126582278481067,-0.14864864864864868
191,25,78254,0.050933786078098474,0.09212454938002615,60.7,9.3,51.4,54.6,8.9,45.7,61.9,9.6,52.3,-0.10049423393739709,-0.043010752688172116,-0.11089494163424118
192,25,79600,0.04086021505376336,0.08512619124193854,286.8,38.1,248.7,255.7,36.9,218.8,290.4,39.3,251.1,-0.10843793584379369,-0.03149606299212604,-0.12022517088862072
193,26,11460,0.07562235791451383,0.07626005895076357,227.9,19.3,208.6,197.6,17.2,180.4,229.0,19.5,209.5,-0.13295304958315057,-0.10880829015544047,-0.13518696069031633
194,26,12980,-0.015358361774744003,0.07670525526776048,57.7,13.1,44.6,51.0,12.0,39.0,57.7,13.1,44.6,-0.11611785095320626,-0.08396946564885499,-0.12556053811659196
195,26,13020,-0.03296703296703285,0.12273422887264082,34.7,5.7,29.0,32.2,5.8,26.4,35.2,6.0,29.2,-0.0720461095100865,0.01754385964912264,-0.08965517241379317
196,26,19804,0.0509718635313307,0.09888856540475861,765.5,117.1,648.4,670.2,102.5,567.7,773.2,117.3,655.9,-0.12449379490529056,-0.12467976088812971,-0.12446020974706962
