,NAME,state,county,total_pop,hispanic,white_nonhispanic,black_nonhispanic,other_nonhispanic,asian_nonhispanic,above_65,less_than_9grade,hs_nodiploma,ged,college_nodegree,associates,bachelors_graduate
848,"Edgefield County, South Carolina",45,37,27260,1690,15586,9406,424,154,5302.0,6.7,10.4,36.7,20.8,8.8,16.7
849,"Edmonson County, Kentucky",21,61,12150,179,11508,230,185,48,2601.0,9.8,12.1,39.3,19.9,8.6,10.3
850,"Edmunds County, South Dakota",46,45,3829,85,3640,12,71,21,843.0,,,,,,
851,"Edwards County, Illinois",17,47,6395,89,6163,34,85,24,1399.0,2.5,5.5,34.5,25.6,17.9,13.9
852,"Edwards County, Kansas",20,47,2798,591,2099,24,79,5,606.0,,,,,,
853,"Edwards County, Texas",48,137,1932,1069,818,10,29,6,561.0,,,,,,
854,"Effingham County, Georgia",13,103,64296,3131,49988,8987,1443,747,7632.0,3.7,8.0,37.5,21.9,8.9,20.0
855,"Effingham County, Illinois",17,49,34008,782,32500,197,298,231,6087.0,3.1,3.8,35.8,20.5,14.0,22.7
856,"El Dorado County, California",6,17,192843,25378,148903,1696,7564,9302,42304.0,2.2,4.4,21.3,26.7,11.2,34.3
857,"El Paso County, Colorado",8,41,720403,127746,494373,43228,31660,23396,95178.0,2.0,3.8,20.4,24.0,11.3,38.5
858,"El Paso County, Texas",48,141,839238,696115,97247,25877,9278,10721,105175.0,12.7,8.8,23.7,23.2,8.2,23.3
859,"Elbert County, Colorado",8,39,26729,2032,23448,339,619,291,4602.0,0.5,2.8,24.1,24.2,12.5,35.8
860,"Elbert County, Georgia",13,105,19194,1151,12171,5425,277,170,4087.0,6.2,15.4,40.9,18.9,7.0,11.6
861,"Elk County, Kansas",20,49,2530,119,2263,3,131,14,732.0,,,,,,
862,"Elk County, Pennsylvania",42,47,29910,255,29067,142,313,133,6737.0,2.3,5.4,48.0,13.1,11.7,19.6
863,"Elkhart County, Indiana",18,39,206341,34580,152907,11589,4813,2452,31210.0,8.5,10.8,34.7,19.6,6.7,19.8
864,"Elko County, Nevada",32,7,52778,13018,35113,527,3472,648,6220.0,5.8,7.9,32.8,27.5,9.5,16.6
865,"Elliott County, Kentucky",21,63,7517,88,7047,279,77,26,1530.0,11.7,13.3,43.4,16.7,5.2,9.7
866,"Ellis County, Kansas",20,51,28553,1695,25452,342,555,509,4571.0,2.0,4.7,26.9,20.9,9.2,36.3
867,"Ellis County, Oklahoma",40,45,3859,280,3333,26,198,22,895.0,,,,,,
868,"Ellis County, Texas",48,139,184826,49705,108813,21380,3380,1548,24288.0,5.9,7.9,27.7,25.8,8.4,24.3
869,"Ellsworth County, Kansas",20,53,6102,385,5222,328,130,37,1299.0,2.2,6.2,34.3,28.3,9.5,19.5
870,"Elmore County, Alabama",1,51,81209,2563,59351,16978,1661,656,12657.0,4.5,8.9,32.5,19.6,9.4,25.1
871,"Elmore County, Idaho",16,39,27511,4887,19915,730,1109,870,3880.0,3.0,7.0,26.8,31.5,13.0,18.7
872,"Emanuel County, Georgia",13,107,22646,1041,13380,7754,305,166,3729.0,8.2,13.2,40.8,17.1,7.7,13.0
873,"Emery County, Utah",49,15,10012,648,9071,31,202,60,1768.0,1.3,4.9,30.2,32.0,15.3,16.3
874,"Emmet County, Iowa",19,63,9208,932,7968,107,141,60,1989.0,3.8,5.5,32.8,25.2,13.9,18.8
875,"Emmet County, Michigan",26,47,33415,607,30435,242,1884,247,7794.0,1.1,5.1,24.7,25.1,10.7,33.4
876,"Emmons County, North Dakota",38,29,3241,37,3090,9,76,29,911.0,,,,,,
877,"Emporia city, Virginia",51,595,5346,346,1459,3405,80,56,1078.0,8.5,12.1,33.8,23.8,8.0,13.8
878,"Erath County, Texas",48,143,42698,9205,31567,772,735,419,6256.0,5.2,6.5,26.3,22.8,7.7,31.5
879,"Erie County, New York",36,29,918702,52969,688598,120415,21761,34959,168935.0,2.7,5.5,27.6,18.0,11.9,34.4
880,"Erie County, Ohio",39,43,74266,3368,61626,6400,2319,553,16748.0,2.0,6.2,37.2,21.1,10.3,23.2
881,"Erie County, Pennsylvania",42,49,269728,11904,226584,19661,6355,5224,50250.0,2.7,6.0,38.5,15.5,9.4,27.9
882,"Escambia County, Alabama",1,53,36633,952,22094,11353,2102,132,6691.0,4.5,14.3,43.7,17.6,7.4,12.5
883,"Escambia County, Florida",12,33,318316,18894,203840,72465,12278,10839,54571.0,2.6,7.0,27.2,24.0,12.7,26.5
884,"Esmeralda County, Nevada",32,9,873,168,579,30,90,6,312.0,,,,,,
